ITEMID,CODE,TYPE,CATEGORY,LABEL,DESCRIPTION
100242,"2122 ","PROCEDURE",,,"NASAL BIOPSY             "
100243,"2130 ","PROCEDURE",,,"NASAL LESION EXCIS NOS   "
100244,"2132 ","PROCEDURE",,,"NASAL LES DESTRUCT NEC   "
100245,"214  ","PROCEDURE",,,"RESECTION OF NOSE        "
100246,"215  ","PROCEDURE",,,"SUBMUC NASAL SEPT RESECT "
100247,"2161 ","PROCEDURE",,,"DIATHER/CRYO TURBINECTOM "
100248,"2162 ","PROCEDURE",,,"TURBINATE FRACTURE       "
100249,"2169 ","PROCEDURE",,,"TURBINECTOMY NEC         "
100250,"2171 ","PROCEDURE",,,"CLOS REDUCTION NASAL FX  "
100251,"2172 ","PROCEDURE",,,"OPEN REDUCTION NASAL FX  "
100252,"2181 ","PROCEDURE",,,"NASAL LACERATION SUTURE  "
100253,"2183 ","PROCEDURE",,,"TOT NASAL RECONSTRUCTION "
100254,"2186 ","PROCEDURE",,,"LIMITED RHINOPLASTY      "
100255,"2188 ","PROCEDURE",,,"SEPTOPLASTY NEC          "
100256,"2201 ","PROCEDURE",,,"SINUS PUNCT FOR LAVAGE   "
100257,"2211 ","PROCEDURE",,,"NASAL SINUS BIOPSY       "
100258,"2219 ","PROCEDURE",,,"NASAL SINUS DX PROC NEC  "
100259,"222  ","PROCEDURE",,,"INTRANASAL ANTROTOMY     "
100260,"2241 ","PROCEDURE",,,"FRONTAL SINUSOTOMY       "
100261,"2242 ","PROCEDURE",,,"FRONTAL SINUSECTOMY      "
100262,"2250 ","PROCEDURE",,,"SINUSOTOMY NOS           "
100263,"2252 ","PROCEDURE",,,"SPHENOIDOTOMY            "
100264,"2260 ","PROCEDURE",,,"SINUSECTOMY NOS          "
100265,"2262 ","PROCEDURE",,,"EXC MAX SINUS LESION NEC "
100266,"2263 ","PROCEDURE",,,"ETHMOIDECTOMY            "
100267,"2264 ","PROCEDURE",,,"SPHENOIDECTOMY           "
100268,"2279 ","PROCEDURE",,,"NASAL SINUS REPAIR NEC   "
100269,"229  ","PROCEDURE",,,"OTHER NASAL SINUS OPS    "
100270,"2301 ","PROCEDURE",,,"DECIDUOUS TOOTH EXTRACT  "
100271,"2309 ","PROCEDURE",,,"TOOTH EXTRACTION NEC     "
100272,"2311 ","PROCEDURE",,,"RESIDUAL ROOT REMOVAL    "
100273,"2319 ","PROCEDURE",,,"SURG TOOTH EXTRACT NEC   "
100274,"240  ","PROCEDURE",,,"GUM OR ALVEOLAR INCISION "
100275,"2411 ","PROCEDURE",,,"GUM BIOPSY               "
100276,"2432 ","PROCEDURE",,,"SUTURE OF GUM LACERATION "
100277,"244  ","PROCEDURE",,,"EXC OF DENTAL LES OF JAW "
100278,"245  ","PROCEDURE",,,"ALVEOLOPLASTY            "
100279,"2501 ","PROCEDURE",,,"NEEDLE BIOPSY OF TONGUE  "
100280,"2502 ","PROCEDURE",,,"OTHER BIOPSY OF TONGUE   "
100281,"251  ","PROCEDURE",,,"DESTRUCTION TONGUE LES   "
100282,"252  ","PROCEDURE",,,"PARTIAL GLOSSECTOMY      "
100283,"253  ","PROCEDURE",,,"COMPLETE GLOSSECTOMY     "
100284,"2551 ","PROCEDURE",,,"SUTURE OF TONGUE LACERAT "
100285,"2559 ","PROCEDURE",,,"REPAIR OF TONGUE NEC     "
100286,"2592 ","PROCEDURE",,,"LINGUAL FRENECTOMY       "
100287,"2611 ","PROCEDURE",,,"SALIVARY GLND & DUCT BX  "
100288,"2621 ","PROCEDURE",,,"SALIVARY CYST MARSUPIAL  "
100289,"2630 ","PROCEDURE",,,"SIALOADENECTOMY NOS      "
100290,"2631 ","PROCEDURE",,,"PARTIAL SIALOADENECTOMY  "
100291,"2632 ","PROCEDURE",,,"COMPLETE SIALOADENECTOMY "
100292,"2691 ","PROCEDURE",,,"SALIVARY DUCT PROBING    "
100293,"270  ","PROCEDURE",,,"DRAIN FACE & MOUTH FLOOR "
100294,"2724 ","PROCEDURE",,,"MOUTH BIOPSY NOS         "
100295,"2731 ","PROCEDURE",,,"LOC EXC BONY PALATE LES  "
100296,"2742 ","PROCEDURE",,,"WIDE EXCISION OF LIP LES "
60063,"035 ","HFCA_DRG",,,"OTHER DISORDERS OF NERVOUS SYSTEM W/O CC"
60064,"036 ","HFCA_DRG",,,"CAROTID ARTERY STENT PROCEDURE W/O CC/MC"
60065,"037 ","HFCA_DRG",,,"EXTRACRANIAL PROCEDURES W MCC           "
60066,"037 ","HFCA_DRG",,,"ORBITAL PROCEDURES                      "
60067,"038 ","HFCA_DRG",,,"EXTRACRANIAL PROCEDURES W CC            "
60068,"039 ","HFCA_DRG",,,"EXTRACRANIAL PROCEDURES W/O CC/MCC      "
60069,"040 ","HFCA_DRG",,,"EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE "
60070,"040 ","HFCA_DRG",,,"PERIPH/CRANIAL NERVE & OTHER NERV SYST P"
60071,"041 ","HFCA_DRG",,,"PERIPH/CRANIAL NERVE & OTHER NERV SYST P"
60072,"042 ","HFCA_DRG",,,"INTRAOCULAR PROCEDURES EXCEPT RETINA, IR"
60073,"042 ","HFCA_DRG",,,"PERIPH/CRANIAL NERVE & OTHER NERV SYST P"
60074,"045 ","HFCA_DRG",,,"NEUROLOGICAL EYE DISORDERS              "
60075,"046 ","HFCA_DRG",,,"OTHER DISORDERS OF THE EYE AGE >17 W CC "
60076,"047 ","HFCA_DRG",,,"OTHER DISORDERS OF THE EYE AGE >17 W/O C"
60077,"048 ","HFCA_DRG",,,"OTHER DISORDERS OF THE EYE AGE 0-17     "
60078,"049 ","HFCA_DRG",,,"MAJOR HEAD & NECK PROCEDURES            "
60079,"050 ","HFCA_DRG",,,"SIALOADENECTOMY                         "
60080,"052 ","HFCA_DRG",,,"SPINAL DISORDERS & INJURIES W CC/MCC    "
60081,"053 ","HFCA_DRG",,,"SINUS & MASTOID PROCEDURES AGE >17      "
60082,"053 ","HFCA_DRG",,,"SPINAL DISORDERS & INJURIES W/O CC/MCC  "
60083,"054 ","HFCA_DRG",,,"NERVOUS SYSTEM NEOPLASMS W MCC          "
60084,"055 ","HFCA_DRG",,,"MISCELLANEOUS EAR, NOSE, MOUTH & THROAT "
60085,"055 ","HFCA_DRG",,,"NERVOUS SYSTEM NEOPLASMS W/O MCC        "
60086,"056 ","HFCA_DRG",,,"DEGENERATIVE NERVOUS SYSTEM DISORDERS W "
60087,"056 ","HFCA_DRG",,,"RHINOPLASTY                             "
60088,"057 ","HFCA_DRG",,,"DEGENERATIVE NERVOUS SYSTEM DISORDERS W/"
60089,"057 ","HFCA_DRG",,,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADEN"
60090,"058 ","HFCA_DRG",,,"MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W"
60091,"059 ","HFCA_DRG",,,"MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W"
60092,"059 ","HFCA_DRG",,,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, A"
60093,"061 ","HFCA_DRG",,,"ACUTE ISCHEMIC STROKE W USE OF THROMBOLY"
60094,"062 ","HFCA_DRG",,,"ACUTE ISCHEMIC STROKE W USE OF THROMBOLY"
60095,"063 ","HFCA_DRG",,,"ACUTE ISCHEMIC STROKE W USE OF THROMBOLY"
60096,"063 ","HFCA_DRG",,,"OTHER EAR, NOSE ,MOUTH ,THROAT O.R. PROC"
60097,"063 ","HFCA_DRG",,,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PRO"
60098,"064 ","HFCA_DRG",,,"EAR, NOSE, MOUTH & THROAT MALIGNANCY    "
60099,"064 ","HFCA_DRG",,,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFA"
100354,"3224 ","PROCEDURE",,,"PERCUTANEOUS ABLATION LU "
100355,"3228 ","PROCEDURE",,,"EXC/DEST OF LESION LUNG, "
100356,"3229 ","PROCEDURE",,,"DESTROY LOC LUNG LES NEC "
100357,"323  ","PROCEDURE",,,"SEGMENTAL LUNG RESECTION "
100358,"3239 ","PROCEDURE",,,"OTH & UNSPEC SEGMENTAL   "
100359,"324  ","PROCEDURE",,,"LOBECTOMY OF LUNG        "
100360,"3241 ","PROCEDURE",,,"THORACOSCOPIC LOBECTOMY  "
100361,"3249 ","PROCEDURE",,,"OTH LOBECTOMY OF LUNG    "
100362,"325  ","PROCEDURE",,,"COMPLETE PNEUMONECTOMY   "
100363,"3259 ","PROCEDURE",,,"OTH & UNSPEC PNEUMONECTO "
100364,"326  ","PROCEDURE",,,"RAD DISSEC THORAC STRUCT "
100365,"331  ","PROCEDURE",,,"INCISION OF LUNG         "
100366,"3320 ","PROCEDURE",,,"THORACOSCOPIC LUNG BIOPS "
100367,"3321 ","PROCEDURE",,,"BRONCHOSCOPY THRU STOMA  "
100368,"3322 ","PROCEDURE",,,"FIBER-OPTIC BRONCHOSCOPY "
100369,"3323 ","PROCEDURE",,,"OTHER BRONCHOSCOPY       "
100370,"3324 ","PROCEDURE",,,"ENDOSCOPIC BRONCHIAL BX- "
100371,"3326 ","PROCEDURE",,,"CLOSE PERC NEEDL BX LUNG "
100372,"3327 ","PROCEDURE",,,"ENDOSCOPIC LUNG BX - CLO "
100373,"3328 ","PROCEDURE",,,"LUNG BIOPSY - OPEN       "
100374,"3329 ","PROCEDURE",,,"LUNG/BRONCHUS DIAGNOSTIC "
100375,"3334 ","PROCEDURE",,,"THORACOPLASTY            "
100376,"3339 ","PROCEDURE",,,"SURG COLLAPS OF LUNG NEC "
100377,"3341 ","PROCEDURE",,,"BRONCHIAL LACERAT SUTURE "
100378,"3342 ","PROCEDURE",,,"BRONCHIAL FISTULA CLOS   "
100379,"3343 ","PROCEDURE",,,"LUNG LACERATION CLOSURE  "
100380,"3348 ","PROCEDURE",,,"BRONCHIAL REPAIR NEC     "
100381,"3378 ","PROCEDURE",,,"ENDOSCOPIC REMOVAL BRONC "
100382,"3379 ","PROCEDURE",,,"ENDOSCOPIC INSERTION OTH "
100383,"3391 ","PROCEDURE",,,"BRONCHIAL DILATION       "
100384,"3392 ","PROCEDURE",,,"BRONCHIAL LIGATION       "
100385,"3393 ","PROCEDURE",,,"PUNCTURE OF LUNG         "
100386,"3399 ","PROCEDURE",,,"LUNG OPERATION NEC       "
100387,"3401 ","PROCEDURE",,,"INCISION OF CHEST WALL   "
100388,"3402 ","PROCEDURE",,,"EXPLORATORY THORACOTOMY  "
100389,"3403 ","PROCEDURE",,,"REOPEN THORACOTOMY SITE  "
100390,"3404 ","PROCEDURE",,,"INSERT INTERCOSTAL CATH  "
100391,"3406 ","PROCEDURE",,,"THORACOSCOPIC DRAINAGE   "
100392,"3409 ","PROCEDURE",,,"OTHER PLEURAL INCISION   "
100393,"341  ","PROCEDURE",,,"INCISION OF MEDIASTINUM  "
100394,"3420 ","PROCEDURE",,,"THORACOSCOPIC PLEURAL BI "
100395,"3421 ","PROCEDURE",,,"TRANSPLEURA THORACOSCOPY "
100396,"3422 ","PROCEDURE",,,"MEDIASTINOSCOPY          "
100397,"3423 ","PROCEDURE",,,"CHEST WALL BIOPSY        "
100398,"3424 ","PROCEDURE",,,"OTHER PLEURAL BIOPSY     "
100399,"3425 ","PROCEDURE",,,"MEDIASTINAL BX - CLOSED  "
100400,"3426 ","PROCEDURE",,,"MEDIASTINAL BIOPSY - OPE "
100401,"3427 ","PROCEDURE",,,"BIOPSY OF DIAPHRAGM      "
100402,"343  ","PROCEDURE",,,"DESTRUCT MEDIASTIN LES   "
100403,"344  ","PROCEDURE",,,"DESTRUCT CHEST WALL LES  "
100404,"3451 ","PROCEDURE",,,"DECORTICATION OF LUNG    "
100405,"3452 ","PROCEDURE",,,"THORACOSCOPIC DECORTICAT "
100406,"3459 ","PROCEDURE",,,"OTHER PLEURAL EXCISION   "
100407,"346  ","PROCEDURE",,,"SCARIFICATION OF PLEURA  "
100408,"3471 ","PROCEDURE",,,"SUTURE CHEST WALL LACER  "
100409,"3472 ","PROCEDURE",,,"THORACOSTOMY CLOSURE     "
100410,"3473 ","PROCEDURE",,,"CLOS THORACIC FISTUL NEC "
100411,"3479 ","PROCEDURE",,,"OTHER CHEST WALL REPAIR  "
100412,"3481 ","PROCEDURE",,,"EXCISE DIAPHRAGM LESION  "
100413,"3482 ","PROCEDURE",,,"SUTURE DIAPHRAGM LACERAT "
100414,"3483 ","PROCEDURE",,,"CLOSE DIAPHRAGM FISTULA  "
100415,"3484 ","PROCEDURE",,,"OTHER DIAPHRAGM REPAIR   "
100416,"3491 ","PROCEDURE",,,"THORACENTESIS            "
100417,"3492 ","PROCEDURE",,,"INJECT INTO THORAX CAVIT "
100418,"3493 ","PROCEDURE",,,"REPAIR OF PLEURA         "
100419,"3499 ","PROCEDURE",,,"THORACIC OPERATION NEC   "
100420,"3511 ","PROCEDURE",,,"OPN AORTIC VALVULOPLASTY "
100421,"3512 ","PROCEDURE",,,"OPN MITRAL VALVULOPLASTY "
100422,"3514 ","PROCEDURE",,,"OPN TRICUS VALVULOPLASTY "
100423,"3521 ","PROCEDURE",,,"REPLACE AORT VALV-TISSUE "
100424,"3522 ","PROCEDURE",,,"REPLACE AORTIC VALVE NEC "
100425,"3523 ","PROCEDURE",,,"REPLACE MITR VALV-TISSUE "
100426,"3524 ","PROCEDURE",,,"REPLACE MITRAL VALVE NEC "
100427,"3525 ","PROCEDURE",,,"REPLACE PULM VALV-TISSUE "
100428,"3527 ","PROCEDURE",,,"REPLACE TRIC VALV-TISSUE "
100429,"3528 ","PROCEDURE",,,"REPLACE TRICUSP VALV NEC "
100430,"3531 ","PROCEDURE",,,"PAPILLARY MUSCLE OPS     "
100431,"3532 ","PROCEDURE",,,"CHORDAE TENDINEAE OPS    "
100432,"3533 ","PROCEDURE",,,"ANNULOPLASTY             "
100433,"3535 ","PROCEDURE",,,"TRABECUL CARNEAE CORD OP "
100434,"3539 ","PROCEDURE",,,"TISS ADJ TO VALV OPS NEC "
100435,"3541 ","PROCEDURE",,,"ENLARGE EXISTING SEP DEF "
100436,"3542 ","PROCEDURE",,,"CREATE SEPTAL DEFECT     "
100437,"3550 ","PROCEDURE",,,"PROSTH REP HRT SEPTA NOS "
100438,"3551 ","PROCEDURE",,,"PROS REP ATRIAL DEF-OPN  "
100439,"3552 ","PROCEDURE",,,"PROS REPAIR ATRIA DEF-CL "
100440,"3553 ","PROCEDURE",,,"REPAIR VENTRICULAR SEPTA "
100441,"3561 ","PROCEDURE",,,"GRART REPAIR ATRIAL DEF  "
100297,"2749 ","PROCEDURE",,,"EXCISION OF MOUTH NEC    "
100298,"2751 ","PROCEDURE",,,"SUTURE OF LIP LACERATION "
100299,"2752 ","PROCEDURE",,,"SUTURE OF MOUTH LAC NEC  "
100300,"2755 ","PROCEDURE",,,"FULL-THICK GRFT TO MOUTH "
100301,"2756 ","PROCEDURE",,,"SKIN GRAFT TO MOUTH NEC  "
100302,"2757 ","PROCEDURE",,,"PEDICLE ATTACH TO MOUTH  "
100303,"2759 ","PROCEDURE",,,"MOUTH REPAIR NEC         "
100304,"2761 ","PROCEDURE",,,"SUTURE OF PALATE LACERAT "
100305,"2772 ","PROCEDURE",,,"EXCISION OF UVULA        "
100306,"2792 ","PROCEDURE",,,"MOUTH INCISION NOS       "
100307,"280  ","PROCEDURE",,,"PERITONSILLAR I & D      "
100308,"2811 ","PROCEDURE",,,"TONSIL ADENOID BIOPSY    "
100309,"282  ","PROCEDURE",,,"TONSILLECTOMY            "
100310,"287  ","PROCEDURE",,,"HEMORR CONTRL POST T & A "
100311,"2911 ","PROCEDURE",,,"PHARYNGOSCOPY            "
100312,"2912 ","PROCEDURE",,,"PHARYNGEAL BIOPSY        "
100313,"2933 ","PROCEDURE",,,"PHARYNGECTOMY PART       "
100314,"2939 ","PROCEDURE",,,"OTH EX OR DES LES/TIS PH "
100315,"294  ","PROCEDURE",,,"PLASTIC OP ON PHARYNX    "
100316,"2951 ","PROCEDURE",,,"SUTURE OF PHARYNGEAL LAC "
100317,"2959 ","PROCEDURE",,,"PHARYNGEAL REPAIR NEC    "
100318,"3009 ","PROCEDURE",,,"DESTRUCT LARYNX LES NEC  "
100319,"3029 ","PROCEDURE",,,"OTHER PART LARYNGECTOMY  "
100320,"303  ","PROCEDURE",,,"COMPLETE LARYNGECTOMY    "
100321,"304  ","PROCEDURE",,,"RADICAL LARYNGECTOMY     "
100322,"310  ","PROCEDURE",,,"INJECTION OF LARYNX      "
100323,"311  ","PROCEDURE",,,"TEMPORARY TRACHEOSTOMY   "
100324,"3129 ","PROCEDURE",,,"OTHER PERM TRACHEOSTOMY  "
100325,"313  ","PROCEDURE",,,"INCIS LARYNX TRACHEA NEC "
100326,"3141 ","PROCEDURE",,,"TRACHEOSCOPY THRU STOMA  "
100327,"3142 ","PROCEDURE",,,"LARYGNOSCOPY/TRACHEOSCOP "
100328,"3143 ","PROCEDURE",,,"LARYNGEAL BIOPSY         "
100329,"3144 ","PROCEDURE",,,"TRACHEAL BIOPSY          "
100330,"3145 ","PROCEDURE",,,"OPEN BX LARYNX OR TRACHE "
100331,"3148 ","PROCEDURE",,,"OTH LARYNX DX PROCEDURE  "
100332,"3149 ","PROCEDURE",,,"OTH TRACHEA DX PROCEDURE "
100333,"315  ","PROCEDURE",,,"LOCAL DESTRUC LARYNX LES "
100334,"3161 ","PROCEDURE",,,"SUTURE OF LARYNGEAL LAC  "
100335,"3162 ","PROCEDURE",,,"LARYNGEAL FISTULA CLOS   "
100336,"3164 ","PROCEDURE",,,"LARYNGEAL FX REPAIR      "
100337,"3169 ","PROCEDURE",,,"OTHER LARYNGEAL REPAIR   "
100338,"3171 ","PROCEDURE",,,"SUTURE OF TRACHEAL LACER "
100339,"3172 ","PROCEDURE",,,"CLOSURE OF TRACHEOSTOMY  "
100340,"3173 ","PROCEDURE",,,"TRACHEA FISTULA CLOS NEC "
100341,"3174 ","PROCEDURE",,,"REVISION OF TRACHEOSTOMY "
100342,"3175 ","PROCEDURE",,,"TRACHEAL RECONSTRUCTION  "
100343,"3179 ","PROCEDURE",,,"OTHER TRACHEAL REPAIR    "
100344,"3192 ","PROCEDURE",,,"LYSIS TRACH/LARYNX ADHES "
100345,"3193 ","PROCEDURE",,,"REPLACE TRAC/LARYN STENT "
100346,"3195 ","PROCEDURE",,,"TRACHEOESOPHAGEAL FISTUL "
100347,"3198 ","PROCEDURE",,,"OTH LARYNGEAL OPERATION  "
100348,"3199 ","PROCEDURE",,,"OTHER TRACHEAL OPERATION "
100349,"3201 ","PROCEDURE",,,"EXC BRONCH LESION/TIS, E "
100350,"3209 ","PROCEDURE",,,"LOC EXC/DEST BRONCH LESI "
100351,"321  ","PROCEDURE",,,"OTHER BRONCHIAL EXCISION "
100352,"3220 ","PROCEDURE",,,"THORACOSCOPIC EXCISION O "
100353,"3222 ","PROCEDURE",,,"LUNG VOLUME REDUCT SURG  "
60001,"001 ","HFCA_DRG",,,"CRANIOTOMY AGE >17 EXCEPT FOR TRAUMA    "
60002,"001 ","HFCA_DRG",,,"CRANIOTOMY AGE >17 W CC                 "
60003,"001 ","HFCA_DRG",,,"HEART TRANSPLANT OR IMPLANT OF HEART ASS"
60004,"002 ","HFCA_DRG",,,"CRANIOTOMY AGE >17 W/O CC               "
60005,"002 ","HFCA_DRG",,,"CRANIOTOMY FOR TRAUMA AGE >17           "
60006,"003 ","HFCA_DRG",,,"CRANIOTOMY AGE 0-17                     "
60007,"003 ","HFCA_DRG",,,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FA"
60008,"004 ","HFCA_DRG",,,"SPINAL PROCEDURES                       "
60009,"004 ","HFCA_DRG",,,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUT"
60010,"005 ","HFCA_DRG",,,"EXTRACRANIAL VASCULAR PROCEDURES        "
60011,"005 ","HFCA_DRG",,,"LIVER TRANSPLANT W MCC OR INTESTINAL TRA"
60012,"006 ","HFCA_DRG",,,"LIVER TRANSPLANT W/O MCC                "
60013,"007 ","HFCA_DRG",,,"PERIPH & CRANIAL NERVE & OTHER NERV SYST"
60014,"008 ","HFCA_DRG",,,"PERIPH & CRANIAL NERVE & OTHER NERV SYST"
60015,"009 ","HFCA_DRG",,,"BONE MARROW TRANSPLANT                  "
60016,"009 ","HFCA_DRG",,,"SPINAL DISORDERS & INJURIES             "
60017,"010 ","HFCA_DRG",,,"NERVOUS SYSTEM NEOPLASMS WITH CC        "
60018,"011 ","HFCA_DRG",,,"NERVOUS SYSTEM NEOPLASMS W/O CC         "
60019,"011 ","HFCA_DRG",,,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60020,"012 ","HFCA_DRG",,,"DEGENERATIVE NERVOUS SYSTEM DISORDERS   "
60021,"012 ","HFCA_DRG",,,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60022,"013 ","HFCA_DRG",,,"MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA  "
60023,"013 ","HFCA_DRG",,,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60024,"014 ","HFCA_DRG",,,"INTRACRANIAL HEMORRHAGE & STROKE WITH IN"
60025,"014 ","HFCA_DRG",,,"SPECIFIC CEREBROVASCULAR DISORDERS EXCEP"
60026,"015 ","HFCA_DRG",,,"NONSPECIFIC CVA & PRECEREBRAL OCCLUSION "
60027,"015 ","HFCA_DRG",,,"TRANSIENT ISCHEMIC ATTACK & PRECEREBRAL "
60028,"016 ","HFCA_DRG",,,"NONSPECIFIC CEREBROVASCULAR DISORDERS W "
60029,"017 ","HFCA_DRG",,,"NONSPECIFIC CEREBROVASCULAR DISORDERS W/"
60030,"018 ","HFCA_DRG",,,"CRANIAL & PERIPHERAL NERVE DISORDERS WIT"
60031,"019 ","HFCA_DRG",,,"CRANIAL & PERIPHERAL NERVE DISORDERS W/O"
60032,"020 ","HFCA_DRG",,,"INTRACRANIAL VASCULAR PROCEDURES W PDX H"
60033,"020 ","HFCA_DRG",,,"NERVOUS SYSTEM INFECTION EXCEPT VIRAL ME"
60034,"021 ","HFCA_DRG",,,"INTRACRANIAL VASCULAR PROCEDURES W PDX H"
60035,"021 ","HFCA_DRG",,,"VIRAL MENINGITIS                        "
60036,"022 ","HFCA_DRG",,,"HYPERTENSIVE ENCEPHALOPATHY             "
60037,"022 ","HFCA_DRG",,,"INTRACRANIAL VASCULAR PROCEDURES W PDX H"
60038,"023 ","HFCA_DRG",,,"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CN"
60039,"023 ","HFCA_DRG",,,"NONTRAUMATIC STUPOR & COMA              "
60040,"024 ","HFCA_DRG",,,"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CN"
60041,"024 ","HFCA_DRG",,,"SEIZURE & HEADACHE AGE >17 WITH CC      "
60042,"025 ","HFCA_DRG",,,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL P"
60043,"025 ","HFCA_DRG",,,"SEIZURE & HEADACHE AGE >17 W/O CC       "
60044,"026 ","HFCA_DRG",,,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL P"
60045,"027 ","HFCA_DRG",,,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL P"
60046,"027 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA >1 HR     "
60047,"028 ","HFCA_DRG",,,"SPINAL PROCEDURES W MCC                 "
60048,"028 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE "
60049,"028 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA > 1HR AGE "
60050,"029 ","HFCA_DRG",,,"SPINAL PROCEDURES W CC OR SPINAL NEUROST"
60051,"029 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE "
60052,"029 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA > 1HR AGE "
60053,"030 ","HFCA_DRG",,,"SPINAL PROCEDURES W/O CC/MCC            "
60054,"030 ","HFCA_DRG",,,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE "
60055,"031 ","HFCA_DRG",,,"CONCUSSION AGE >17 WITH CC              "
60056,"031 ","HFCA_DRG",,,"VENTRICULAR SHUNT PROCEDURES W MCC      "
60057,"032 ","HFCA_DRG",,,"CONCUSSION AGE >17 W/O CC               "
60058,"032 ","HFCA_DRG",,,"VENTRICULAR SHUNT PROCEDURES W CC       "
60059,"033 ","HFCA_DRG",,,"CONCUSSION AGE 0-17                     "
60060,"034 ","HFCA_DRG",,,"CAROTID ARTERY STENT PROCEDURE W MCC    "
60061,"034 ","HFCA_DRG",,,"OTHER DISORDERS OF NERVOUS SYSTEM WITH C"
60062,"035 ","HFCA_DRG",,,"CAROTID ARTERY STENT PROCEDURE W CC     "
101641,"8849 ","PROCEDURE",,,"CONTRAST ARTERIOGRAM NEC "
101642,"8850 ","PROCEDURE",,,"ANGIOCARDIOGRAPHY NOS    "
101643,"8851 ","PROCEDURE",,,"VENA CAV ANGIOCARDIOGRAM "
101644,"8852 ","PROCEDURE",,,"RT HEART ANGIOCARDIOGRAM "
101645,"8853 ","PROCEDURE",,,"LT HEART ANGIOCARDIOGRAM "
101646,"8854 ","PROCEDURE",,,"RT & LT HEART ANGIOCARD  "
101647,"8855 ","PROCEDURE",,,"CORONAR ARTERIOGR-1 CATH "
101648,"8856 ","PROCEDURE",,,"CORONAR ARTERIOGR-2 CATH "
101649,"8857 ","PROCEDURE",,,"CORONARY ARTERIOGRAM NEC "
101650,"8858 ","PROCEDURE",,,"NEGATVE-CONTR CARDIOGRAM "
101651,"8860 ","PROCEDURE",,,"CONTRAST PHLEBOGRAM NOS  "
101652,"8861 ","PROCEDURE",,,"CONTR PHLEBOGRAM-HD/NECK "
101653,"8862 ","PROCEDURE",,,"CONTR PHLEBOGRAM-PULMON  "
101654,"8863 ","PROCEDURE",,,"THORAC CONTR PHLEBOG NEC "
101655,"8864 ","PROCEDURE",,,"PORTAL CONTR PHLEBOGRAM  "
101656,"8865 ","PROCEDURE",,,"ABD CONTR PHLEBOGRAM NEC "
101657,"8866 ","PROCEDURE",,,"CONTRAST PHLEBOGRAM-LEG  "
101658,"8867 ","PROCEDURE",,,"CONTRAST PHLEBOGRAM NEC  "
101659,"8868 ","PROCEDURE",,,"IMPEDANCE PHLEBOGRAM     "
101660,"8871 ","PROCEDURE",,,"DX ULTRASOUND-HEAD/NECK  "
101661,"8872 ","PROCEDURE",,,"DX ULTRASOUND-HEART      "
101662,"8873 ","PROCEDURE",,,"DX ULTRASOUND-THORAX NEC "
101663,"8874 ","PROCEDURE",,,"DX ULTRASOUND-DIGESTIVE  "
101664,"8875 ","PROCEDURE",,,"DX ULTRASOUND-URINARY    "
101665,"8876 ","PROCEDURE",,,"DX ULTRASOUND-ABDOMEN    "
101666,"8877 ","PROCEDURE",,,"DX ULTRASOUND-VASCULAR   "
101667,"8879 ","PROCEDURE",,,"DX ULTRASOUND NEC        "
101668,"8891 ","PROCEDURE",,,"MRI BRAIN AND BRAIN STEM "
101669,"8892 ","PROCEDURE",,,"MRI CHEST AND MYOCARDIUM "
101670,"8893 ","PROCEDURE",,,"MAGN RESON IMAG SPINAL C "
101671,"8896 ","PROCEDURE",,,"OTH INTRAOPERATIVE MRI   "
101672,"8897 ","PROCEDURE",,,"MRI OF OTHER/UNSP SITE   "
101673,"8903 ","PROCEDURE",,,"COMPREHEN INTERVIEW/EVAL "
101674,"8914 ","PROCEDURE",,,"ELECTROENCEPHALOGRAM     "
101675,"8918 ","PROCEDURE",,,"OTHER SLEEP DISORDER FUN "
101676,"8919 ","PROCEDURE",,,"VID/RAD-TELEM ELECTROENC "
101677,"8922 ","PROCEDURE",,,"CYSTOMETROGRAM           "
