ITEMID,LABEL,CATEGORY
1268,"Gastric Meds 900.0ml","PO/Gastric"
1270,"TPN 1146.0ml","IV Infusions"
1272,"D5W 250.0ml + 125mcgmin Neosynephrine","IV Drips"
1273,"ct irrigant","Free Form Intake"
1274,"epidural bupivicaine","Free Form Intake"
1276,"bactrim with d5w","Free Form Intake"
1278,"D5/.45NS 150.0ml","IV Infusions"
1279,"D5W 600.0ml + 1200mgmin Labetolol","IV Infusions"
1281,"Factor VIII","Blood Products"
1282,".9% Normal Saline 100.0ml + 20mghr Morphine Sulfate","IV Infusions"
1284,"TPN 1305.0ml","IV Drips"
1285,"D5W 250.0ml + 20mcgmin Levophed","IV Infusions"
1286,".9% Normal Saline 100.0ml + 25Uhr Insulin","IV Drips"
1288,"Pleural tap",
1289,"ankle drainage",
1291,".9% Normal Saline 150.0ml","IV Infusions"
1293,"Streptokinase mU/hr","IV Drips"
1294,".9% Normal Saline 250.0ml + 100mgkghr Atracurium","IV Infusions"
1296,".9% Normal Saline 500.0ml + 200mgkghr Atracurium","IV Infusions"
1297,".9% Normal Saline 250.0ml + 1.5mUhr Streptokinase","IV Infusions"
1298,".9% Normal Saline 500.0ml + 400mgkghr Atracurium","IV Infusions"
1299,"D5W 250.0ml + 4mcgkgmin Reopro + 4mcgmin Reopro","IV Infusions"
1301,"D5W 10.0ml + 10000Uhr Heparin","IV Drips"
1302,"D5W 100.0ml + 20Umin Vasopressin","IV Drips"
1303,"cath lab dye","Free Form Intake"
1305,"PD Dialysate in","Free Form Intake"
1306,"50mg amphoterecin gu","Free Form Intake"
1308,"PD Dialysate Out",
1309,"PD Dialysate out",
1311,".9% Normal Saline 150.0ml + 600mgmin Labetolol","IV Infusions"
1312,"Replete w/fiber 1000.0str","IV Infusions"
1313,"D5W 350.0ml","IV Infusions"
1314,"NS foley Irragation","Free Form Intake"
1315,"D5W 50.0ml + 25mcgkgmin Narcan","IV Infusions"
1316,".9% Normal Saline 600.0ml + 600mgmin Labetolol","IV Infusions"
1317,"D5 Normal Saline 10000.0ml","IV Infusions"
1318,"Replete w/fiber 500.0str","IV Infusions"
1319,"D5NS 150.0ml","IV Infusions"
1320,"D5NS 2000.0ml","IV Infusions"
1321,"D5/.45NS 300.0ml","IV Infusions"
1322,"rl bolus","Free Form Intake"
1323,"Protonex","Free Form Intake"
1324,"ivig","Free Form Intake"
1325,"verapamil gtt","Free Form Intake"
1326,"NGT DNG",
1327,"D5W 480.0ml + 80Umin Vasopressin","IV Infusions"
1328,".9% Normal Saline 480.0ml + 600mgmin Labetolol","IV Infusions"
1329,"N/A 50.0vl + 1000mcgkgmin Propofol","IV Infusions"
1330,"TPN 1607.0ml","IV Infusions"
1331,"TPN 2005.0ml","IV Infusions"
1332,".9% Normal Saline 100.0ml + 10mghr Ativan","IV Drips"
1333,".9% Normal Saline 150.0ml + 150mghr Diltiazem","IV Drips"
1334,"Nepro 5.0str","Tube Feeding"
1335,"water boluses","Free Form Intake"
1336,"TPN 1074.0ml","IV Infusions"
1337,".9% Normal Saline 100.0ml + 100mghr Diltiazem","IV Drips"
1338,"St Luke's","Free Form Intake"
1339,"milk/molasses enema","Free Form Intake"
1340,"D5W 100.0ml + 250mghr Morphine Sulfate","IV Infusions"
1341,".9% Normal Saline 50.0ml + 100mghr Morphine Sulfate","IV Infusions"
1342,"TPN w/Lipids 1699.0ml","IV Infusions"
1343,"D5W 1.0ml + 1000Uhr Heparin","IV Drips"
1344,"gastric out","Free Form Intake"
1345,"flush","Free Form Intake"
1346,"cistacurium","Free Form Intake"
1347,"D5W 250.0ml + 80mghr Ativan","IV Infusions"
1348,"D5W 250.0ml + 6mcgmin Levophed","IV Infusions"
1349,".9% Normal Saline 500.0ml + 50mghr Morphine Sulfate","IV Infusions"
1350,"Vivonex 100.0str","Tube Feeding"
1351,"QUINIDINE","Free Form Intake"
1352,"ER FLUIDS","Free Form Intake"
1353,"KPHOS","Free Form Intake"
1354,"PD fluid retained","Free Form Intake"
1355,"C.O","Free Form Intake"
1356,"IV Bolus","Free Form Intake"
1357,"NG aspirate",
1358,"EBL(OR)",
1359,"Drain Out #1 Red Rubber",
1360,".9% Normal Saline 160.0ml + 400mgmin Labetolol","IV Infusions"
1361,"D5W 240.0ml + 240mghr Ativan","IV Infusions"
1362,"D5W 200.0ml + 40mghr Ativan","IV Infusions"
1363,"TPN 1825.0ml","IV Infusions"
1364,"TPN 1027.0ml","IV Drips"
1365,"Ultracal 240.0str","IV Infusions"
1366,"Replete 240.0str","IV Infusions"
1367,"iv fluid from osh","Free Form Intake"
1368,"er ivf","Free Form Intake"
1369,"OR Crystalloid 1000.0ml","IV Drips"
1371,"ns fluid bolus","Free Form Intake"
1372,"redicat","Free Form Intake"
1374,"Dialysis Out",
1375,".9% Normal Saline 180.0ml + 600mgmin Labetolol","IV Infusions"
1377,"Peptamen 280.0str","IV Infusions"
1378,"Replete w/fiber 300.0str","IV Drips"
1380,"nsbolus","Free Form Intake"
1381,"PLASMAPHERESIS","Free Form Intake"
1383,"PLASMAPHORESIS",
1384,"angio out",
1386,"Tube Feeding 237.0ml","Tube Feeding"
1388,"CATH LAB FLUID","Free Form Intake"
1389,"ct contrast","Free Form Intake"
1391,"k-phos 20mmol/500cc","Free Form Intake"
1392,"ns b","Free Form Intake"
1394,".9% Normal Saline 100.0ml + 100mgmin TPA","IV Infusions"
1395,"Bretyllium     mg/hr","IV Drips"
1396,"D5W 250.0ml + 1mgmin Bretylium","IV Infusions"
1397,".9% Normal Saline 250.0ml + 1250mgkghr Pentobarbitol","IV Infusions"
1399,".9% Normal Saline 250.0ml + 2000mgkghr Pentobarbitol","IV Infusions"
1400,"D5W 200.0ml + 100mghr Ativan","IV Infusions"
1401,".9% Normal Saline 40.0ml + 2000mcghr Fentanyl","IV Infusions"
1402,"D5W 100.0ml + 10mghr Ativan","IV Infusions"
1404,"D5W 100.0ml + 16mghr Morphine Sulfate","IV Infusions"
1405,"D5W 250.0ml + 26.299999237060547mcgmin Levophed","IV Infusions"
1406,"D5W 250.0ml + 100mcgmin Neosynephrine","IV Drips"
1407,"Promote 244.0str","PO/Gastric"
1409,"ED Intake","Free Form Intake"
1410,"Flolan","Free Form Intake"
1412,"cisatracurium","Free Form Intake"
1414,"Cisatracurium","Free Form Intake"
1416,"free h2o boluses","Free Form Intake"
1417,"Hemodialysis Out",
1418,"3% Normal Saline 225.0ml","IV Infusions"
1420,"D5W 150.0ml + 60Umin Vasopressin","IV Drips"
1421,"TPN 1518.0ml","PO/Gastric"
1422,"D5W 250.0ml + 100mgkghr Atracurium","IV Infusions"
1424,"Respalor 244.0str","IV Drips"
1425,"kayexalate pr","Free Form Intake"
1426,"peg meds","Free Form Intake"
1428,"ns .9% bolus","Free Form Intake"
1429,"PD INFUSED","Free Form Intake"
1431,"ampho bladder wash","Free Form Intake"
1432,"ns pr              e",
1435,"D5W 40.0ml + 10mcgmin Neosynephrine","IV Infusions"
1437,"TPN 1060.0ml","Tube Feeding"
1438,"Hespan 1000.0ml","Colloids"
1439,"sodium phos","Free Form Intake"
1441,"PARACENTESIS FLUID",
1442,"D5W 100.0ml + 400mghr Lasix","IV Infusions"
1444,"D5/.45NS 250.0ml","IV Infusions"
1445,"NS IN ER","Free Form Intake"
1447,"Panidronate","Free Form Intake"
1448,"protonix 8mg/250","Free Form Intake"
1450,"21mM Potassium Phos","Free Form Intake"
1451,"NS with 4 gr Ca Gluc",
1453,"D5W 100.0ml + 5000mcghr Fentanyl","IV Infusions"
1454,".9% Normal Saline 500.0ml + 8mcgmin Levophed","IV Drips"
2321,"outside hospital","Free Form Intake"
2322,"er crystalloids","Free Form Intake"
2324,"er prbc","Free Form Intake"
2325,"CARIPORIDE CC/HR","Free Form Intake"
2327,"L CT SITE BAG DRNG",
2328,"R CT SITE BAG DRNG",
2331,"Drain Out #4 Hemovac",
2333,"TPN w/Lipids 1347.0ml","IV Nutrition"
2334,"APRTININ CC/HR","Free Form Intake"
2335,"1/2 STR. VIVONEX","Free Form Intake"
2337,"NAHCO3- CC/HR","Free Form Intake"
2338,"paracenteis drainag.",
2340,"N/A 100.0vl + 500mcgkgmin Propofol","IV Infusions"
2342,"Amiodarone mg/hr","Free Form Intake"
2343,"CARIPORIDE ML/HR","Free Form Intake"
2345,"LR w/ 40 mEq","Free Form Intake"
2347,"ngt/bile returned","Free Form Intake"
2348,"ngt/bile aspirate",
2350,"Lactated Ringers 10000.0ml","IV Drips"
2351,".45% Normal Saline 50.0ml","IV Drips"
2353,"CISTRACURIUM","Free Form Intake"
2355,"TPN w/Lipids 1900.0ml","IV Drips"
2356,"TPN w/Lipids 1956.0ml","IV Drips"
2357,"free h20 via ngt","Free Form Intake"
2359,"cariporide/ns","Free Form Intake"
2360,"CATH LAB IV INTAKE","Free Form Intake"
2362,"CATH LAB URINE OUTPT",
2363,"angio crystalloid","Free Form Intake"
2365,"Bupivacaine","Free Form Intake"
2367,"Drain Out #3 Sump",
2369,"CONTRAST IN ANGIO","Free Form Intake"
2370,"CRYSTALLOID IN ANGIO","Free Form Intake"
2372,"CARIPORIDE","Free Form Intake"
2373,"SOLUMEDEROL GTT","Free Form Intake"
2375,"U/O IN ANGIO",
2377,"TPN 1529.0ml","Tube Feeding"
2378,"D5W 250.0ml + 100mcgkgmin Neosynephrine-k","IV Drips"
2379,"D5W 250.0ml + 150mcgkgmin Nitroprusside","IV Drips"
2381,"CC6 INTAKE","Free Form Intake"
2382,"READI-CAT","Free Form Intake"
2384,"90%CC/CC U/O REPLACE","Free Form Intake"
2385,"Cisatracurium gtt","Free Form Intake"
2387,"NA+ ACETATE","Free Form Intake"
2388,"DIALYSIS OUTPUT",
2390,"PEG DRAINAGE.",
2393,"CC6 URINE OUTPUT",
2395,"D5W + 40 KCL","Free Form Intake"
2397,"pleural fld",
2398,"TPN 1306.0ml","IV Nutrition"
2400,"D5W 250.0ml + 200mcgkgmin Neosynephrine-k","IV Drips"
2401,"vicu cryst","Free Form Intake"
2402,"epidural drip","Free Form Intake"
2403,"er output",
2404,"vicu u/o",
2405,"Drain Out #3 Wound Vac",
2406,"GASTROGRAFIN/NG","Free Form Intake"
2407,"Precedex mcg/kg/hr","Free Form Intake"
2408,"hcl 50meq/500cc@   0","Free Form Intake"
2409,"D5LR W/40K","Free Form Intake"
2410,"sodium bicarbonate","Free Form Intake"
2411,"TPN 1451.0ml","IV Infusions"
2412,"D5/.2NS 500.0ml","IV Infusions"
2413,"NEURO-RAD IN","Free Form Intake"
2414,"Cisat mcg/kg/min","Free Form Intake"
2415,"THAM (30 meq=100cc)","Free Form Intake"
2416,"nabicarb 250/1000","Free Form Intake"
2417,"NEURO-RAD OUT",
2418,"INTAKE ON FLOOR","Free Form Intake"
2419,"(R) Fem drain bag",
2420,"D5W 100.0ml + 10mcgkgmin Milrinone","IV Infusions"
2421,"TPN 2051.0ml","IV Infusions"
2422,"SOLUMEDROL DRIPMG/HR","Free Form Intake"
2423,"heparin via sheaths","Free Form Intake"
2424,"ANCEF IRRIGATION","Free Form Intake"
2425,"LT PLEURAL CT IRRIG",
2426,"D5W 400.0ml","IV Infusions"
2427,"TPN 1287.0ml","Tube Feeding"
2428,"CARIPORIDE STUDY/CC","Free Form Intake"
2429,"Free water","Free Form Intake"
2430,"D5W w/20gm CaGluc","Free Form Intake"
2431,"PEG",
2432,"wound drains",
2433,"perineal drainage",
2434,"TPN w/Lipids 1646.0ml","IV Infusions"
2435,"D5W 500.0ml + 5000Uhr Heparin","IV Infusions"
2436,"TPN 1145.0ml","IV Drips"
2437,"D5W 250.0ml + 250mghr Lasix","IV Infusions"
2438,"CAROPORIDE","Free Form Intake"
2439,"farr 7 intake","Free Form Intake"
2440,"1/2 STR. IMPACT/FIBR","Free Form Intake"
2441,"farr 7 output",
2442,"L GROIN DRNG",
2443,"TPN 1278.0ml","IV Infusions"
2444,"Dextrose 10% 40.0ml","Tube Feeding"
2445,"D5W 100.0ml + 40Umin Vasopressin","Tube Feeding"
2446,".9% Normal Saline 100.0ml + 50mghr Dilaudid","IV Drips"
2447,"250n/s 15mM NA PHOS","Free Form Intake"
2448,"ABD wound bag",
2449,"D5W 50.0ml + 250mghr Dilaudid","IV Infusions"
2450,"TPN 1392.0ml","PO/Gastric"
2451,"ANTI-THYMOCYTE GLOB","Free Form Intake"
2452,"PD fluid 2.5%","Free Form Intake"
2453,"Fluid Bolus","Free Form Intake"
2454,"OR Autologous Blood 500.0ml","IV Infusions"
2455,"FENOLDOPAM 10MG/250C","Free Form Intake"
2457,"PENTOBARB DRIP","Free Form Intake"
2458,"PD4.5%","Free Form Intake"
2460,"drain flush l","Free Form Intake"
2462,"NEPRO W/ PROMOD","Free Form Intake"
2463,"cath lab urine",
2465,"Drain Out #6 Other",
2467,"Drain Out #8 Other",
2469,"GASTROGAVIN","Free Form Intake"
2470,"4.25travasol/5%dex.","Free Form Intake"
2471,"Other",
2473,"thoracentesis left",
2476,"ostomy drainage",
2478,"D5W/Ca Gluc 20Gm","Free Form Intake"
2480,"Cariporide","Free Form Intake"
2481,"d5w/20g cagluc/L","Free Form Intake"
2483,"1000 D5W 20GM CAGLU","Free Form Intake"
2485,"abd dsg",
2486,"pericentesis",
2488,"SODIUM PHOSPHATE","Free Form Intake"
2489,"farr 7 crystalloid","Free Form Intake"
2490,"Na Phos","Free Form Intake"
2492,"farr 7 u/o",
2494,"anti-thymocyte globn","Free Form Intake"
2495,"nepro with promod","Free Form Intake"
2497,"TPN 1925.0ml","IV Nutrition"
2498,"CHEST TUBE PLEURALS",
2500,".9% Normal Saline 100.0ml + 20mghr Dilaudid","IV Infusions"
2502,"TPN 1330.0ml","IV Nutrition"
2503,"Fluid in cath lab","Free Form Intake"
2505,"L CT DRAINAGE SITE",
2507,"TRUE URINE",
2510,"Urine in cath lab",
2512,"1000NS/1000UHEPARIN","Free Form Intake"
2513,"bivalirudin gtt","Free Form Intake"
2515,"antithymocyte globin","Free Form Intake"
2516,"Chest tube pleural",
2518,"D5W 100.0ml + 160mghr Lasix","IV Infusions"
2519,"D5W 200.0ml + 500mghr Lasix","IV Infusions"
2521,"aprotinen","Free Form Intake"
2523,"LUMBAR DRAIN OUTPUT",
2524,"HemoDialysis",
2526,"SOLUMEDROL GTT","Free Form Intake"
2527,"INR BLOOD PRODUCTS","Free Form Intake"
2529,"po intake farr5","Free Form Intake"
2530,"farr 5 emesis",
2532,".9% Normal Saline 620.0ml","IV Infusions"
2534,"c-scan","Free Form Intake"
2536,"Dialysis output",
2537,"TPN 1935.0ml","Blood Products"
2538,"cell saver/or","Free Form Intake"
2540,"R chest tube site",
2542,"TPN 1537.0ml","IV Infusions"
2543,"TPN w/Lipids 1537.0ml","IV Infusions"
2544,"TPN 1113.0ml","IV Infusions"
2546,"Farr 5 intake","Free Form Intake"
2548,"NS Bolus","Free Form Intake"
2549,"Farr 5 output",
2550,"Dextran 40 25.0ml","IV Infusions"
2552,"D5W 100.0ml + 100mcgkgmin Cisatracurium + 100mgkghr Cisatracurium","IV Infusions"
2553,"D5W 200.0ml + 200mcgkgmin Cisatracurium + 200mgkghr Cisatracurium","IV Infusions"
2555,"CAPD Output",
2556,"CC6 URINE",
2558,"Sterile Water 10.0ml + .20000000298023224mghr Dilaudid","IV Infusions"
2559,"Respalor 60.0str","IV Infusions"
2560,"TPN 2159.0ml","IV Infusions"
2562,"pos. dialysate intak","Free Form Intake"
2564,"ALCOHOL 10%DRIP G/HR","Free Form Intake"
2565,"TROMETHAMINE CC/HR","Free Form Intake"
2566,"1000D5/130NA ACETATE","Free Form Intake"
2568,"R Groin Site",
2569,"VAC DRAINAGE",
2572,"Respalor 600.0str","Tube Feeding"
2573,"ACETYLCYSTEINE","Free Form Intake"
2575,"alteplase","Free Form Intake"
2576,"10% ALCOHOL DRIP","Free Form Intake"
2578,"CONTRAST VIA NGT","Free Form Intake"
2579,"INTERVEN RADIOLOGY",
2581,"hemovac neck",
2583,"Dextrose 20% 1000.0ml","IV Infusions"
2585,"Impact w/fiber 600.0str","Tube Feeding"
2586,"Impact w/fiber 200.0str","Tube Feeding"
2588,"VICU PRBC","Free Form Intake"
2590,"nimbex","Free Form Intake"
2591,"arm drain bags",
1456,"D5W 250.0ml + 20mgkghr Doxacurium","IV Infusions"
1457,"Free H20 intake","Free Form Intake"
1459,"1/4 NS","Free Form Intake"
1460,"capd dialysate","Free Form Intake"
1462,".9% Normal Saline 300.0ml + 2500mcghr Fentanyl","IV Infusions"
1463,"Carrier 520.0ml","IV Infusions"
1465,"TPN 10000.0ml","IV Drips"
1466,"before icu ns","Free Form Intake"
1468,".9% Normal Saline 200.0ml + 20mghr Ativan","IV Infusions"
1469,"D5 Normal Saline 700.0ml","IV Infusions"
1471,"Other Blood Products 1100.0ml","IV Drips"
1472,"D5W 50.0ml + 50mghr Lasix","IV Drips"
1473,".9% Normal Saline 150.0ml + 50mghr Morphine Sulfate","IV Drips"
1475,"pleural effusion",
1476,"Ultracal 60.0str","IV Infusions"
1478,"Respalor 200.0str","IV Drips"
1479,"Respalor 250.0str","IV Drips"
1480,"D5W 500.0ml + 16mcgmin Levophed","IV Drips"
1481,"Pre-Admission Intake 4140.0cc","IV Infusions"
1482,"TPN 1420.0ml","Gastric/TF Residual"
1483,"NS FLUSH OF DRAIN","Free Form Intake"
1484,"vecuronium","Free Form Intake"
1485,"SODIUM PHOS","Free Form Intake"
1486,"pleural tap out",
1487,"paracentesis tap out",
1488,"D5W 100.0ml + 1000mcghr Sandostatin","IV Infusions"
3163,"Total IN",
3164,"Total OUT",
3165,"Urine Output Total",
3166,"Vomitus Output Total",
3167,"Net Body Balance",
3168,"d10 bolus","Free Form Intake"
3169,"Bicarb drip","Free Form Intake"
3170,"TPN D21.5 with hep","Free Form Intake"
3171,"URINE CC/KG/HR",
3172,"spit",
3173,"urinecc/kg/hr",
3174,"Stool .",
3175,"Urine .",
3176,"Blood Out Lab",
3177,"Chest Tubes Chest Tube",
3178,"Repogle Tube OGT",
3179,"D10W","IV Infusions"
3180,"Br Milk FS NG","PO Feeding"
3181,"E 20 FS PO","PO Feeding"
3182,"NS.9%","IV Infusions"
3183,"TPN D10.0","IV Nutrition"
3184,"D10W 4.2cc","PO Feeding"
3185,"0.9% Normal Saline","PO Feeding"
3186,"NS .9%","PO Feeding"
3187,".45NS + .5:1 Heparin","PO Feeding"
3188,"Br Milk FS PO","PO Feeding"
3189,"Dopamine","IV Drips"
3190,"Lipids 20%","IV Nutrition"
3191,"PE 20 FS NG","NG Feeding"
3192,"PE 24 FS NG","NG Feeding"
3193,"D10W 50.0cc + 15mcgkgmin Dopamine Drip","PO Feeding"
3194,"PE 22 FS NG","PO Feeding"
3195,"E 24 FS PO","NG Feeding"
3196,"PE 20 FS PO","PO Feeding"
3197,"Br Milk FS NG 100.0cc","NG Feeding"
3198,"PE 22 FS PO","NG Feeding"
3199,"D10W 100.0cc","PO Feeding"
3200,"Prostin VR","IV Drips"
3201,"D10W 50.0cc + 500mcgkgmin Prostin VR Drip","PO Feeding"
3202,"PE 24 FS PO","PO Feeding"
3203,"Br Milk FS PO 100.0cc","NG Feeding"
3204,"Fentanyl","IV Drips"
3205,"D10W 45.0cc + 250mcgkghr Fentanyl Drip","IV Drips"
3206,"D5W 50.0cc + 250mcgkghr Fentanyl Drip","IV Drips"
3207,"D10W 10.0cc + 250mcgkghr Fentanyl Drip","IV Drips"
3209,".9NS flush","IV Flush"
3210,"Heparin(10 units/cc)","IV Flush"
3212,"TPN D17.0","IV Nutrition"
3213,"TPN D9.0","IV Nutrition"
3214,".45NS + 1:1 Heparin","IV Infusions"
3216,"D10W 50.0cc + 2mcgkgmin Epinephrine Drip","NG Feeding"
3218,"D20W","IV Nutrition"
3219,"TPN D16","IV Nutrition"
3221,"TPN D22.5","IV Nutrition"
3222,"D 30W","IV Infusions"
3224,"TPN D25.0","IV Nutrition"
3226,"Prog FS NG","NG Feeding"
3227,"TPN D18.0","IV Nutrition"
3229,"D10 bolus","Free Form Intake"
3230,"Portagen","Free Form Intake"
3232,"1/2 NS flush","Free Form Intake"
3233,"TPN D10.5 with hep","Free Form Intake"
3235,"contrast dye","Free Form Intake"
3236,"D18W + 2NaCl & 1 KCl","Free Form Intake"
3238,"Potassium Chl. Bolus","Free Form Intake"
3239,"Portagen NGT","Free Form Intake"
3241,"Portagen 20 cal po","Free Form Intake"
3242,"portagen","Free Form Intake"
3244,"NG out",
3247,".9NS + 1:1 Heparin","IV Infusions"
3249,"D10W 250.0cc","IV Infusions"
3250,"D10W 4.5cc","IV Infusions"
3252,"D10W 3.3cc","IV Infusions"
3253,"0.9% Normal Saline 23.0ml","IV Infusions"
3254,"PE 24 FS NG 90.0cc","IV Infusions"
3256,"E 22 FS PO","PO Feeding"
3257,"0.9% Normal Saline 30.0ml","NG Feeding"
3258,"0.9% Normal Saline 40.0ml","NG Feeding"
3260,"E 24 Fe FS PO","NG Feeding"
3261,"E 20 FS NG","NG Feeding"
3263,"D5W 1000.0cc","IV Flush"
3265,"D10W flush","IV Flush"
3267,"D5W 500.0cc","IV Flush"
3269,"PE 24 FS PO 90.0cc","NG Feeding"
3270,"Br Milk FS NG 30.0cc","NG Feeding"
3271,"E 24 FS NG","NG Feeding"
3273,"D5W 50.0cc + 60mcgkgmin Dopamine Drip","IV Infusions"
3274,".45NS flush","IV Flush"
3276,"Nutramigen PO","IV Flush"
3278,"TPN D5.0","IV Nutrition"
3279,"D 12.5 W","PO Feeding"
3280,"TPN D 20","IV Nutrition"
3282,"D10W 1.0cc","IV Flush"
3283,"TPN D6","IV Flush"
3285,"D7.5W","NG Feeding"
3287,"TPN D13.0","NG Feeding"
3289,".25 NS+0.5:1 Heparin","NG Feeding"
3290,"D5W 1.0cc","IV Flush"
3292,"PE 20 FS PO 100.0cc","NG Feeding"
3294,"NeoSure 330.0cc","IV Infusions"
3295,"PE 24 FS PO 100.0cc","IV Infusions"
3297,"D5W 25.0cc + 50mcgkghr Fentanyl Drip","IV Infusions"
3298,"D5W 100.0cc","IV Infusions"
3299,"TPN D7.0","IV Nutrition"
3301,"E 24 Fe FS PO 30.0cc","IV Flush"
3303,"Br Milk FS PO 70.0cc","NG Feeding"
3305,"D 12.5 W 100.0ml","NG Feeding"
3307,"NeoSure 24 PO","NG Feeding"
3308,"D20W 50.0ml","NG Feeding"
3310,"TPN D 8","IV Nutrition"
3311,"TPN D8 500.0cc","IV Infusions"
3313,"TPN D17.5","IV Nutrition"
3315,"Br Milk FS NG 1.0cc","IV Drips"
3316,"TPN D25","IV Nutrition"
3318,"TPN D8","IV Infusions"
3319,"Carnation Good Start","Free Form Intake"
3321,"D14.5 lytes and hep","Free Form Intake"
3322,"Lipid tubing change",
3325,"5% Dex Water PO","PO Feeding"
3326,"PE 24 FS NG 39.0cc","NG Feeding"
3328,"TPN D7.5 1.0cc","IV Nutrition"
3330,"D7.5W 250.0cc","IV Infusions"
3331,"TPN D30.0","IV Nutrition"
3334,"D5W 50.0cc + 30mcgkgmin Dopamine Drip","NG Feeding"
3336,"Penrose drain",
3337,"SMA 20 Fe FS PO","PO Feeding"
3339,"D10W 4.0cc","NG Feeding"
3340,"D10W 5.0cc","NG Feeding"
3341,"PE 20 FS PO 90.0cc","PO Feeding"
3343,"NeoSure 30.0cc","PO Feeding"
3344,"Br Milk FS NG 50.0cc","NG Feeding"
3346,"tpn d13.5 with hepan","Free Form Intake"
3348,"urine output/kg",
3350,"0.9% Normal Saline 14.0ml","NG Feeding"
3351,"E 24 Fe FS PO 90.0cc","IV Infusions"
3352,"D10W 40.0cc + 500mcgkghr Fentanyl Drip","IV Drips"
3354,"normal saline flushs","Free Form Intake"
3355,"urine/k/hr",
3356,"Lt. upper CT",
3357,"Rt. upper CT",
3358,"E 20 Fe FS PO 30.0cc","IV Infusions"
3359,"NS .9% 1.0cc","NG Feeding"
3360,"Dobutamine","IV Drips"
3361,"D10W 50.0cc + 15mcgkgmin Dobutamine Drip","PO Feeding"
3362,"NS .9% 100.0cc","IV Infusions"
3363,"D25W 100.0ml","IV Infusions"
3364,"kcl infusion","Free Form Intake"
3365,"urine output/kg/hr",
3366,"ur.cc/kg/hr",
3367,"Portagen NG","Free Form Intake"
3368,"blood sugar","Free Form Intake"
3369,"glucose monitor #","Free Form Intake"
3370,"Portagen 24","Free Form Intake"
3371,"Portagen 24 NG","Free Form Intake"
3372,"24hr urine output",
3373,"urine cc/kg/hr",
3374,"URINE CC?KG?HR",
3375,"D10W 50.0cc + 250mcgkghr Fentanyl Drip","IV Flush"
3376,"TPN D12.5 100.0cc","NG Feeding"
3377,"Br Milk FS NG 44.0cc","NG Feeding"
3378,"D 12.5 W 250.0ml","IV Drips"
3379,"URINECC/KG/HR",
3380,"urine outpt cc/kg/hr",
3381,"cc/kg/hr",
3382,"Pregestimil FS PO","PO Feeding"
3383,"PE 24 FS NG 100.0cc","NG Feeding"
3384,"PE 20 FS NG 90.0cc","NG Feeding"
3385,"Br Milk FS NG 70.0cc","NG Feeding"
3386,"BMFSPO+2HMF","Free Form Intake"
3387,"Fentanyl bolus:","Free Form Intake"
3388,"0.9% Normal Saline 86.0ml","IV Flush"
3389,".45NS + .5:1 Heparin 1.0ml","IV Flush"
3390,"Pregestimil 24 NG","PO Feeding"
4491,".9NS bolus","Free Form Intake"
4492,"Free Water","Free Form Intake"
4493,"WATER","Free Form Intake"
4494,"r fem puncture site",
4495,"GT Residual",
4496,".45% Normal Saline 3500.0ml","IV Infusions"
4497,".9% Normal Saline 250.0ml + 100mgkghr Lepirudin","IV Drips"
4498,"er ns","Free Form Intake"
4499,"ER input","Free Form Intake"
4500,"Rituximab 50mg/hr","Free Form Intake"
4501,"ER output",
4502,"Portagen 24 PO","PO Feeding"
4503,"1/2NS CC:CC","Free Form Intake"
4504,"1/2 ns 1/2cc:cc","Free Form Intake"
4505,"farr7 intake-iv","Free Form Intake"
4506,"farr7-output/urine",
4507,"farr7 lower abd drai",
4508,"farr7 upper abd drai",
4509,"Albumin 5% 250.0ml","IV Infusions"
4510,"pheresis pos balanc","Free Form Intake"
4511,"Plasmapheresis","Free Form Intake"
4512,"D5W 83.3ml","IV Infusions"
4513,"Boost Plus 999.0str","IV Drips"
4514,"Boost Plus 1000.0str","Tube Feeding"
4515,"PLASMAPHERESIS IN","Free Form Intake"
4516,"PRIMO 2 CABG STUDY","Free Form Intake"
4517,"pheresis ivf","Free Form Intake"
4518,"Insulin Carrier","Free Form Intake"
4519,"farr 10 in","Free Form Intake"
4520,"farr 10 out",
4521,"LR bolus","Free Form Intake"
4522,"LEFT ARM POUCH",
4523,"Neocate 20 PO","Free Form Intake"
4524,"Fresh Frozen Plasma 335.0ml","IV Infusions"
4525,"Quick Mix.","Free Form Intake"
4526,"dialysate 1.5% dex","Free Form Intake"
4527,"dialysate 2.5%","Free Form Intake"
4528,"plasmapheresis","Free Form Intake"
4529,"Primo study cc/hr","Free Form Intake"
4530,"LEFT ABD JP",
4531,"RIGHT ABD JP",
4532,"RIGHT BREAST JP",
4533,".9% Normal Saline 2400.0ml","IV Infusions"
4534,"Angio contrast","Free Form Intake"
4535,"ostomy blding",
4536,"D5W 70.0ml","IV Infusions"
4537,"D5 .2","Free Form Intake"
4538,"D5 Ringers Lact. 100.0ml","IV Infusions"
4539,"D5W W/ NAHCO3 150MEQ","Free Form Intake"
4540,".9% Normal Saline 20.0ml + 1000mcghr Fentanyl","IV Drips"
4541,"True Urine Output",
4542,"Whole Blood 500.0ml","IV Drips"
4543,"Promote w/fiber 1500.0str","GU Irrigant"
4544,"Peritoneal Dial In","Free Form Intake"
4546,"NeoSure 24 PO 30.0ml","PO Feeding"
4548,"left leg drainage",
4549,"Promote w/fiber 466.0str","Cath Lab Intake"
