ITEMID,TEST_NAME,FLUID,CATEGORY,LOINC_CODE,LOINC_DESCRIPTION
50055,"%phenyfr","BLOOD","CHEMISTRY","10548-6","Phenytoin Free/Phenytoin.total in Serum or Plasma"
50057,"ACETONE","BLOOD","CHEMISTRY","5567-3","Acetone [Presence] in Serum or Plasma"
50058,"ACID PHOS","BLOOD","CHEMISTRY","1711-1","Acid phosphatase [Enzymatic activity/volume] in Blood"
50060,"ALBUMIN","BLOOD","CHEMISTRY","1751-7","Albumin [Mass/volume] in Serum or Plasma"
50061,"ALK PHOS","BLOOD","CHEMISTRY","1783-0","Alkaline phosphatase [Enzymatic activity/volume] in Blood"
50062,"ALT(SGPT)","BLOOD","CHEMISTRY","1742-6","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma"
50064,"AMMONIA","BLOOD","CHEMISTRY","16362-6","Ammonia [Moles/volume] in Plasma"
50065,"AMYLASE","BLOOD","CHEMISTRY","1798-8","Amylase [Enzymatic activity/volume] in Serum or Plasma"
50067,"ANCA","BLOOD","CHEMISTRY","35279-9","Neutrophil cytoplasmic Ab [Presence] in Serum by Immunofluorescence"
50069,"ANTI-MC","BLOOD","CHEMISTRY","32042-4","Thyroperoxidase Ab [Presence] in Serum"
50071,"ANTITPO","BLOOD","CHEMISTRY","8099-4","Thyroperoxidase Ab [Units/volume] in Serum"
50072,"ASA","BLOOD","CHEMISTRY","3306-8","Acetylsalicylate [Mass/volume] in Serum or Plasma"
50073,"AST(SGOT)","BLOOD","CHEMISTRY","1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma"
50076,"C4","BLOOD","CHEMISTRY","4498-2","Complement C4 [Mass/volume] in Serum or Plasma"
50077,"CA125","BLOOD","CHEMISTRY","10334-1","Cancer Ag 125 [Units/volume] in Serum or Plasma"
50079,"CALCIUM","BLOOD","CHEMISTRY","17861-6","Calcium [Mass/volume] in Serum or Plasma"
50081,"CARBAMZPN","BLOOD","CHEMISTRY","3432-2","Carbamazepine [Mass/volume] in Serum or Plasma"
50082,"CEA","BLOOD","CHEMISTRY","2039-6","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma"
50084,"CHOL/HDL","BLOOD","CHEMISTRY","32309-7","Cholesterol.total/Cholesterol.in HDL [Molar ratio] in Serum or Plasma"
50086,"CK(CPK)","BLOOD","CHEMISTRY","2157-6","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma"
50087,"CK-MB","BLOOD","CHEMISTRY","49551-5","Creatine kinase.MB [Mass/volume] in Blood"
50088,"CNTROMR","BLOOD","CHEMISTRY","16570-4","Centromere Ab [Presence] in Serum by Immunofluorescence"
50090,"CREAT","BLOOD","CHEMISTRY","2160-0","Creatinine [Mass/volume] in Serum or Plasma"
50092,"CRYO","BLOOD","CHEMISTRY","5117-7","Cryoglobulin [Presence] in Serum"
50094,"DHEA-SO4","BLOOD","CHEMISTRY","2191-5","Dehydroepiandrosterone sulfate [Mass/volume] in Serum or Plasma"
50095,"DIGOXIN","BLOOD","CHEMISTRY","10535-3","Digoxin [Mass/volume] in Serum or Plasma"
50098,"ESTRADL","BLOOD","CHEMISTRY","2243-4","Estradiol [Mass/volume] in Serum or Plasma"
50558,"CD15","OTHER BODY FLUID","HEMATOLOGY","51252-5","CD15 cells/100 cells in Body fluid"
50560,"CD19","OTHER BODY FLUID","HEMATOLOGY","17829-3","CD19 cells/100 cells in Body fluid"
50562,"CD20","OTHER BODY FLUID","HEMATOLOGY","57418-6","CD20 cells/100 cells in Body fluid"
50563,"CD22","OTHER BODY FLUID","HEMATOLOGY","42875-5","CD22 cells/100 cells in Body fluid"
50565,"CD3","OTHER BODY FLUID","HEMATOLOGY","17826-9","CD3 cells/100 cells in Body fluid"
50568,"CD38","OTHER BODY FLUID","HEMATOLOGY","51299-6","CD38 cells/100 cells in Body fluid"
50570,"CD4/CD8","OTHER BODY FLUID","HEMATOLOGY","18266-7","CD4 cells/CD8 Cells [# Ratio] in Body fluid"
50571,"CD41","OTHER BODY FLUID","HEMATOLOGY","51320-0","CD41 cells/100 cells in Body fluid"
50573,"CD5","OTHER BODY FLUID","HEMATOLOGY","57423-6","CD5 cells/100 cells in Body fluid"
50575,"CD64","OTHER BODY FLUID","HEMATOLOGY","51366-3","CD64 cells/100 cells in Body fluid"
50577,"CD71","OTHER BODY FLUID","HEMATOLOGY","57426-9","CD71 cells/100 cells in Body fluid"
50578,"CD8","OTHER BODY FLUID","HEMATOLOGY","17824-4","CD8 cells/100 cells in Body fluid"
50580,"FMC-7","OTHER BODY FLUID","HEMATOLOGY","57428-5","FMC7 cells/100 cells in Body fluid"
50582,"HCT","OTHER BODY FLUID","HEMATOLOGY","11153-4","Hematocrit [Volume Fraction] of Body fluid"
50583,"HLA-DR","OTHER BODY FLUID","HEMATOLOGY","51381-2","HLA-DR+ cells/100 cells in Body fluid"
50588,"MACROPHAG","OTHER BODY FLUID","HEMATOLOGY","12230-9","Macrophages/100 leukocytes in Body fluid by Manual count"
50590,"METAS","OTHER BODY FLUID","HEMATOLOGY","17801-2","Metamyelocytes/100 leukocytes in Body fluid"
50591,"MONOS","OTHER BODY FLUID","HEMATOLOGY","10330-9","Monocytes/100 leukocytes in Body fluid by Manual count"
50595,"PLASMA","OTHER BODY FLUID","HEMATOLOGY","17803-8","Plasma cells/100 leukocytes in Body fluid"
50596,"POLYS","OTHER BODY FLUID","HEMATOLOGY","26518-1","Polymorphonuclear cells/100 leukocytes in Body fluid"
50598,"RBC","OTHER BODY FLUID","HEMATOLOGY","26455-6","Erythrocytes [#/volume] in Body fluid"
50600,"ATYPS","PLEURAL","HEMATOLOGY","33370-8","Lymphocytes Variant/100 leukocytes in Pleural fluid"
50603,"EOS","PLEURAL","HEMATOLOGY","30379-2","Eosinophils/100 leukocytes in Pleural fluid"
50605,"LYMPHS","PLEURAL","HEMATOLOGY","26481-2","Lymphocytes/100 leukocytes in Pleural fluid"
50606,"MACROPHAG","PLEURAL","HEMATOLOGY","40520-9","Macrophages/100 leukocytes in Pleural fluid by Manual count"
50609,"MONOS","PLEURAL","HEMATOLOGY","33362-5","Monocytes/100 leukocytes in Pleural fluid"
50613,"PLASMA","PLEURAL","HEMATOLOGY","40522-5","Plasma cells/100 leukocytes in Pleural fluid by Manual count"
50616,"RBC","PLEURAL","HEMATOLOGY","26456-4","Erythrocytes [#/volume] in Pleural fluid"
50617,"WBC","PLEURAL","HEMATOLOGY","26467-1","Leukocytes [#/volume] in Pleural fluid"
50619,"BLOOD","STOOL","HEMATOLOGY","2335-8","Hemoglobin.gastrointestinal [Presence] in Stool"
50620,"3PHOSPHAT","URINE","HEMATOLOGY","5814-9","Triple phosphate crystals [Presence] in Urine sediment by Light microscopy"
50622,"AMORPH","URINE","HEMATOLOGY","8246-1","Amorphous sediment [Presence] in Urine sediment by Light microscopy"
50099,"ETHANOL","BLOOD","CHEMISTRY","5640-8","Ethanol [Mass/volume] in Blood"
50102,"FK506","BLOOD","CHEMISTRY","11253-2","Tacrolimus [Mass/volume] in Blood"
50103,"FOLATE","BLOOD","CHEMISTRY","2284-8","Folate [Mass/volume] in Serum or Plasma"
50104,"FREE T4","BLOOD","CHEMISTRY","3024-7","Thyroxine free [Mass/volume] in Serum or Plasma"
50106,"FSH","BLOOD","CHEMISTRY","15067-2","Follitropin [Units/volume] in Serum or Plasma"
50107,"GASTRIN","BLOOD","CHEMISTRY","2333-3","Gastrin [Mass/volume] in Serum or Plasma"
50109,"GGT","BLOOD","CHEMISTRY","2324-2","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma"
50110,"GLIADIN","BLOOD","CHEMISTRY","7893-1","Gliadin Ab [Units/volume] in Serum"
50112,"GLUCOSE","BLOOD","CHEMISTRY","2345-7","Glucose [Mass/volume] in Serum or Plasma"
50115,"HAPTOGLOB","BLOOD","CHEMISTRY","4542-7","Haptoglobin [Mass/volume] in Serum or Plasma"
50117,"HBc Ab","BLOOD","CHEMISTRY","16933-4","Hepatitis B virus core Ab [Presence] in Serum"
50118,"HBs Ab","BLOOD","CHEMISTRY","32019-2","Hepatitis B virus surface Ab [Titer] in Serum"
50119,"HBsAg","BLOOD","CHEMISTRY","5195-3","Hepatitis B virus surface Ag [Presence] in Serum"
50121,"HCV Ab","BLOOD","CHEMISTRY","16128-1","Hepatitis C virus Ab [Presence] in Serum"
50122,"HDL CHOL","BLOOD","CHEMISTRY","2085-9","Cholesterol.in HDL [Mass/volume] in Serum or Plasma"
50125,"HOMOCYSTN","BLOOD","CHEMISTRY","20646-6","Homocystine [Moles/volume] in Serum or Plasma"
50127,"INDIR BIL","BLOOD","CHEMISTRY","1971-1","Indirect bilirubin [Mass/volume] in Serum or Plasma"
50128,"IRON","BLOOD","CHEMISTRY","2498-4","Iron [Mass/volume] in Serum or Plasma"
50130,"IgG","BLOOD","CHEMISTRY","2465-3","IgG [Mass/volume] in Serum"
50132,"IgM HAV","BLOOD","CHEMISTRY","22314-9","Hepatitis A virus IgM Ab [Presence] in Serum"
50133,"IgM HBc","BLOOD","CHEMISTRY","31204-1","Hepatitis B virus core IgM Ab [Presence] in Serum"
50134,"LD(LDH)","BLOOD","CHEMISTRY","2532-0","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma"
50135,"LDL(CALC)","BLOOD","CHEMISTRY","13457-7","Cholesterol.in LDL [Mass/volume] in Serum or Plasma by calculation"
50001,"AADO2","BLOOD","BLOOD GAS","19991-9","Oxygen.alveolar - arterial [Partial pressure] Respiratory system"
50002,"BASE XS","BLOOD","BLOOD GAS","11555-0","Base excess in Blood"
50003,"CARBOXYHB","BLOOD","BLOOD GAS","20563-3","Carboxyhemoglobin/Hemoglobin.total in Blood"
50004,"CL-","BLOOD","BLOOD GAS","2069-3","Chloride [Moles/volume] in Blood"
50006,"GLUCOSE","BLOOD","BLOOD GAS","2339-0","Glucose [Mass/volume] in Blood"
50007,"HGB","BLOOD","BLOOD GAS","718-7","Hemoglobin [Mass/volume] in Blood"
50008,"INTUBATED","BLOOD","BLOOD GAS",,
50009,"K+","BLOOD","BLOOD GAS","6298-4","Potassium [Moles/volume] in Blood"
50010,"LACTATE","BLOOD","BLOOD GAS","32693-4","Lactate [Moles/volume] in Blood"
50011,"MET HGB","BLOOD","BLOOD GAS","2614-6","Methemoglobin/Hemoglobin.total in Blood"
50012,"NA+","BLOOD","BLOOD GAS","2947-0","Sodium [Moles/volume] in Blood"
50013,"O2","BLOOD","BLOOD GAS","19994-3","Oxygen/Inspired gas setting [Volume Fraction] Ventilator"
50014,"O2 FLOW","BLOOD","BLOOD GAS","3151-8","Inhaled oxygen flow rate"
50015,"O2 SAT","BLOOD","BLOOD GAS","20564-1","Oxygen saturation in Blood"
50016,"PCO2","BLOOD","BLOOD GAS","11557-6","Carbon dioxide [Partial pressure] in Blood"
50017,"PEEP","BLOOD","BLOOD GAS","20077-4","Positive end expiratory pressure setting Ventilator"
50018,"PH","BLOOD","BLOOD GAS","11558-4","pH of Blood"
50019,"PO2","BLOOD","BLOOD GAS","11556-8","Oxygen [Partial pressure] in Blood"
50020,"RATES","BLOOD","BLOOD GAS",,
50021,"REQ O2","BLOOD","BLOOD GAS",,
50022,"TCO2","BLOOD","BLOOD GAS","1959-6","Bicarbonate [Moles/volume] in Blood"
50023,"TEMP","BLOOD","BLOOD GAS",,
50024,"TIDAL VOL","BLOOD","BLOOD GAS","20112-9","Tidal volume setting Ventilator"
50026,"TYPE","BLOOD","BLOOD GAS",,
50027,"VENT","BLOOD","BLOOD GAS",,
50030,"freeCa","BLOOD","BLOOD GAS","1994-3","Calcium.ionized [Moles/volume] in Blood"
50032,"K+","OTHER BODY FLUID","BLOOD GAS","2821-7","Potassium [Moles/volume] in Body fluid"
50035,"PH","OTHER BODY FLUID","BLOOD GAS","2748-2","pH of Body fluid"
50037,"ALBUMIN","ASCITES","CHEMISTRY","1749-1","Albumin [Mass/volume] in Peritoneal fluid"
50040,"CHOLEST","ASCITES","CHEMISTRY","14441-0","Cholesterol [Mass/volume] in Peritoneal fluid"
50043,"GLUCOSE","ASCITES","CHEMISTRY","2347-3","Glucose [Mass/volume] in Peritoneal fluid"
50046,"MISC","ASCITES","CHEMISTRY",,
50047,"OSMOLAL","ASCITES","CHEMISTRY","2691-4","Osmolality of Peritoneal fluid"
50049,"SODIUM","ASCITES","CHEMISTRY","49790-9","Sodium [Moles/volume] in Peritoneal fluid"
50053,"UREA N","ASCITES","CHEMISTRY","12265-5","Urea nitrogen [Mass/volume] in Peritoneal fluid"
50056,"ACETMNPHN","BLOOD","CHEMISTRY","3298-7","Acetaminophen [Mass/volume] in Serum or Plasma"
50059,"AFP","BLOOD","CHEMISTRY","1834-1","Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma"
50063,"AMA","BLOOD","CHEMISTRY","14236-4","Mitochondria Ab [Presence] in Serum"
50066,"ANA","BLOOD","CHEMISTRY","8061-4","Nuclear Ab [Presence] in Serum"
50068,"ANION GAP","BLOOD","CHEMISTRY","41276-7","Anion gap in Blood"
50070,"ANTI-TG","BLOOD","CHEMISTRY","8098-6","Thyroglobulin Ab [Units/volume] in Serum"
50074,"BC Hold","BLOOD","CHEMISTRY",,
50075,"C3","BLOOD","CHEMISTRY","4485-9","Complement C3 [Mass/volume] in Serum or Plasma"
50078,"CA27.29","BLOOD","CHEMISTRY","17842-6","Cancer Ag 27-29 [Units/volume] in Serum or Plasma"
50083,"CHLORIDE","BLOOD","CHEMISTRY","2069-3","Chloride [Moles/volume] in Blood"
50085,"CHOLEST","BLOOD","CHEMISTRY","2093-3","Cholesterol [Mass/volume] in Serum or Plasma"
50089,"CORTISOL","BLOOD","CHEMISTRY","2143-6","Cortisol [Mass/volume] in Serum or Plasma"
50091,"CRP","BLOOD","CHEMISTRY",,
50093,"CYCLSPRN","BLOOD","CHEMISTRY","3520-4","Cyclosporine [Mass/volume] in Blood"
50096,"DIR BILI","BLOOD","CHEMISTRY","1968-7","Direct bilirubin [Mass/volume] in Serum or Plasma"
50097,"EDTA HOLD","BLOOD","CHEMISTRY",,
50101,"FERRITIN","BLOOD","CHEMISTRY","2276-4","Ferritin [Mass/volume] in Serum or Plasma"
50105,"FREE TEST","BLOOD","CHEMISTRY","2991-8","Testosterone Free [Mass/volume] in Serum or Plasma"
50108,"GENTA","BLOOD","CHEMISTRY","35668-3","Gentamicin [Mass/volume] in Serum or Plasma"
50111,"GLOBULIN","BLOOD","CHEMISTRY","2336-6","Globulin [Mass/volume] in Serum"
50113,"GREEN HLD","BLOOD","CHEMISTRY",,
50114,"GRY HOLD","BLOOD","CHEMISTRY",,
50116,"HAV Ab","BLOOD","CHEMISTRY","20575-7","Hepatitis A virus Ab [Presence] in Serum"
50120,"HCG","BLOOD","CHEMISTRY","19080-1","Choriogonadotropin [Units/volume] in Serum or Plasma"
50123,"HIV Ab","BLOOD","CHEMISTRY",,
50124,"HOLD BLUE","BLOOD","CHEMISTRY",,
50126,"IFE","BLOOD","CHEMISTRY","49275-1","Immunofixation [interpretation] for Serum or Plasma Narrative"
50129,"IgA","BLOOD","CHEMISTRY","2458-8","IgA [Mass/volume] in Serum"
50131,"IgM","BLOOD","CHEMISTRY","2472-9","IgM [Mass/volume] in Serum"
50136,"LDL(meas)","BLOOD","CHEMISTRY","18262-6","Cholesterol.in LDL [Mass/volume] in Serum or Plasma by Direct assay"
50139,"LITHIUM","BLOOD","CHEMISTRY","14334-7","Lithium [Moles/volume] in Serum or Plasma"
50143,"NON FX","BLOOD","CHEMISTRY",,
50144,"OSMOLAL","BLOOD","CHEMISTRY","2692-2","Osmolality of Serum or Plasma"
50146,"PHENOBARB","BLOOD","CHEMISTRY","3948-7","Phenobarbital [Mass/volume] in Serum or Plasma"
50149,"POTASSIUM","BLOOD","CHEMISTRY","2823-3","Potassium [Moles/volume] in Serum or Plasma"
50154,"PTH","BLOOD","CHEMISTRY","2731-8","Parathyrin.intact [Mass/volume] in Serum or Plasma"
50156,"QUINIDINE","BLOOD","CHEMISTRY","4014-7","Quinidine [Mass/volume] in Blood"
50157,"RED HOLD","BLOOD","CHEMISTRY",,
50158,"RHEU FACT","BLOOD","CHEMISTRY",,
50163,"T4","BLOOD","CHEMISTRY","3025-4","Thyroxine [Mass/volume] in Blood"
50166,"THEOPHYL","BLOOD","CHEMISTRY","4049-3","Theophylline [Mass/volume] in Serum or Plasma"
50169,"TOBRA","BLOOD","CHEMISTRY","35670-9","Tobramycin [Mass/volume] in Serum or Plasma"
50172,"TOTAL CO2","BLOOD","CHEMISTRY","1963-8","Bicarbonate [Moles/volume] in Serum"
50175,"TSH","BLOOD","CHEMISTRY","3015-5","Thyrotropin [Units/volume] in Blood"
50176,"TUptake","BLOOD","CHEMISTRY",,
50179,"VALPROATE","BLOOD","CHEMISTRY","4086-5","Valproate [Mass/volume] in Serum or Plasma"
50184,"[Hgb]","BLOOD","CHEMISTRY","718-7","Hemoglobin [Mass/volume] in Blood"
50186,"barbitrt","BLOOD","CHEMISTRY","3376-1","Barbiturates [Presence] in Serum, Plasma or Blood"
50189,"cTropnT","BLOOD","CHEMISTRY","48425-3","Troponin T.cardiac [Mass/volume] in Blood"
50194,"freepheny","BLOOD","CHEMISTRY","3969-3","Phenytoin Free [Mass/volume] in Serum or Plasma"
50196,"rapamycin","BLOOD","CHEMISTRY","29247-4","Sirolimus [Mass/volume] in Blood"
50199,"<ALBUMIN>","CSF","CHEMISTRY","1746-7","Albumin [Mass/volume] in Cerebral spinal fluid"
50203,"MISC","CSF","CHEMISTRY",,
50204,"PROTEIN","CSF","CHEMISTRY","2880-3","Protein [Mass/volume] in Cerebral spinal fluid"
50207,"CREAT","JOINT FLUID","CHEMISTRY","14401-4","Creatinine [Mass/volume] in Synovial fluid"
50210,"PROTEIN","JOINT FLUID","CHEMISTRY","2886-0","Protein [Mass/volume] in Synovial fluid"
50212,"AMYLASE","OTHER BODY FLUID","CHEMISTRY","1795-4","Amylase [Enzymatic activity/volume] in Body fluid"
50215,"CHOLEST","OTHER BODY FLUID","CHEMISTRY","12183-0","Cholesterol [Mass/volume] in Body fluid"
50217,"GLUCOSE","OTHER BODY FLUID","CHEMISTRY","2344-0","Glucose [Mass/volume] in Body fluid"
50219,"LIPASE","OTHER BODY FLUID","CHEMISTRY","15212-4","Triacylglycerol lipase [Enzymatic activity/volume] in Body fluid"
50220,"MG","OTHER BODY FLUID","CHEMISTRY","29365-4","Magnesium [Mass/volume] in Body fluid"
50221,"MISC","OTHER BODY FLUID","CHEMISTRY",,
50222,"OSMOLAL","OTHER BODY FLUID","CHEMISTRY","15200-9","Osmolality of Body fluid"
50223,"PG","OTHER BODY FLUID","CHEMISTRY","48785-0","Prostaglandin D2 [Mass/volume] in Body fluid"
50224,"PHOSPHATE","OTHER BODY FLUID","CHEMISTRY","12242-4","Phosphate [Mass/volume] in Body fluid"
50137,"LH","BLOOD","CHEMISTRY","10501-5","Lutropin [Units/volume] in Serum or Plasma"
50138,"LIPASE","BLOOD","CHEMISTRY","3040-3","Triacylglycerol lipase [Enzymatic activity/volume] in Serum or Plasma"
50140,"MAGNESIUM","BLOOD","CHEMISTRY","19123-9","Magnesium [Mass/volume] in Serum or Plasma"
50141,"MB INDX","BLOOD","CHEMISTRY","20569-0","Creatine kinase.MB/Creatine kinase.total in Serum or Plasma"
50142,"NAPA","BLOOD","CHEMISTRY","3834-9","N-acetylprocainamide [Mass/volume] in Serum or Plasma"
50145,"PEP","BLOOD","CHEMISTRY","24351-9","Protein electrophoresis panel in Serum or Plasma"
50147,"PHENYTOIN","BLOOD","CHEMISTRY","3968-5","Phenytoin [Mass/volume] in Serum or Plasma"
50148,"PHOSPHATE","BLOOD","CHEMISTRY","2777-1","Phosphate [Mass/volume] in Serum or Plasma"
50151,"PROCAINMD","BLOOD","CHEMISTRY","3982-6","Procainamide [Mass/volume] in Serum or Plasma"
50152,"PROLACTIN","BLOOD","CHEMISTRY","2842-3","Prolactin [Mass/volume] in Serum or Plasma"
50153,"PSA","BLOOD","CHEMISTRY","2857-1","Prostate specific Ag [Mass/volume] in Serum or Plasma"
50155,"Parietl","BLOOD","CHEMISTRY","26969-6","Parietal cell Ab [Presence] in Serum by Immunofluorescence"
50159,"SODIUM","BLOOD","CHEMISTRY","2951-2","Sodium [Moles/volume] in Serum or Plasma"
50161,"Smooth","BLOOD","CHEMISTRY","14252-1","Smooth muscle Ab [Presence] in Serum"
50162,"T3","BLOOD","CHEMISTRY","3053-6","Triiodothyronine [Mass/volume] in Serum or Plasma"
50164,"T4Index","BLOOD","CHEMISTRY","32215-6","Thyroxine free index in Serum or Plasma"
50165,"TESTOSTER","BLOOD","CHEMISTRY","2986-8","Testosterone [Mass/volume] in Serum or Plasma"
50167,"THYROGLB","BLOOD","CHEMISTRY","3013-0","Thyroglobulin [Mass/volume] in Serum or Plasma"
50168,"TITER","BLOOD","CHEMISTRY","5048-4","Nuclear Ab [Titer] in Serum by Immunofluorescence"
50170,"TOT BILI","BLOOD","CHEMISTRY","1975-2","Bilirubin [Mass/volume] in Serum or Plasma"
50171,"TOT PROT","BLOOD","CHEMISTRY","2885-2","Protein [Mass/volume] in Serum or Plasma"
50173,"TRF","BLOOD","CHEMISTRY","3034-6","Transferrin [Mass/volume] in Serum or Plasma"
50174,"TRIGLYCER","BLOOD","CHEMISTRY","2571-8","Triglyceride [Mass/volume] in Serum or Plasma"
50177,"UREA N","BLOOD","CHEMISTRY","3094-0","Urea nitrogen [Mass/volume] in Serum or Plasma"
50178,"URIC ACID","BLOOD","CHEMISTRY","3084-1","Urate [Mass/volume] in Serum or Plasma"
50180,"VANCO","BLOOD","CHEMISTRY","20578-1","Vancomycin [Mass/volume] in Serum or Plasma"
50181,"VIT B12","BLOOD","CHEMISTRY","16695-9","Cobalamin [Mass/volume] in Blood"
50183,"[A1c]","BLOOD","CHEMISTRY","4548-4","Hemoglobin A1c (glycated HgB)/Hemoglobin.total [Moles] in Blood"
50185,"b2micro","BLOOD","CHEMISTRY","32731-2","Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis"
50187,"bnzodzpn","BLOOD","CHEMISTRY","42662-7","Benzodiazepines [Presence] in Blood"
50188,"cTropnI","BLOOD","CHEMISTRY","42757-5","Troponin I.cardiac [Mass/volume] in Blood"
50190,"calTIBC","BLOOD","CHEMISTRY","2500-7","Iron binding capacity [Mass/volume] in Serum or Plasma"
50191,"calcTBG","BLOOD","CHEMISTRY","3027-0","Thyroxine/Thyroxine binding globulin [Mass ratio] in Serum or Plasma"
50192,"dsDNA","BLOOD","CHEMISTRY","5130-0","DNA double strand Ab [Units/volume] in Serum"
50193,"estGFR","BLOOD","CHEMISTRY","33914-3","Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD)"
50195,"proBNP","BLOOD","CHEMISTRY","33762-6","Natriuretic peptide.B prohormone [Mass/volume] in Serum or Plasma"
50197,"tTG-IgA","BLOOD","CHEMISTRY","31017-7","Tissue transglutaminase IgA Ab [Units/volume] in Serum"
50198,"tricyclic","BLOOD","CHEMISTRY","4073-3","Tricyclic antidepressants [Presence] in Serum or Plasma"
50200,"CSF-PEP","CSF","CHEMISTRY","24352-7","Protein electrophoresis panel in Cerebral spinal fluid"
50201,"GLUCOSE","CSF","CHEMISTRY","2342-4","Glucose [Mass/volume] in Cerebral spinal fluid"
50202,"LD(LDH)","CSF","CHEMISTRY","2528-8","Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid"
50205,"TOT BILI","CSF","CHEMISTRY","1973-7","Bilirubin [Mass/volume] in Cerebral spinal fluid"
50206,"AMYLASE","JOINT FLUID","CHEMISTRY","14388-3","Amylase [Enzymatic activity/volume] in Synovial fluid"
50208,"GLUCOSE","JOINT FLUID","CHEMISTRY","2348-1","Glucose [Mass/volume] in Synovial fluid"
50209,"LD(LDH)","JOINT FLUID","CHEMISTRY","2533-8","Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid"
50211,"ALBUMIN","OTHER BODY FLUID","CHEMISTRY","1747-5","Albumin [Mass/volume] in Body fluid"
50213,"CALCIUM","OTHER BODY FLUID","CHEMISTRY","15155-5","Calcium [Mass/volume] in Body fluid"
50214,"CHLORIDE","OTHER BODY FLUID","CHEMISTRY","2072-7","Chloride [Moles/volume] in Body fluid"
50216,"CREAT","OTHER BODY FLUID","CHEMISTRY","12190-5","Creatinine [Mass/volume] in Body fluid"
50218,"LD(LDH)","OTHER BODY FLUID","CHEMISTRY","2529-6","Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid"
50239,"CREAT","PLEURAL","CHEMISTRY","14399-0","Creatinine [Mass/volume] in Pleural fluid"
50240,"GLUCOSE","PLEURAL","CHEMISTRY","2346-5","Glucose [Mass/volume] in Pleural fluid"
50241,"LD(LDH)","PLEURAL","CHEMISTRY","2530-4","Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid"
50246,"TOT PROT","PLEURAL","CHEMISTRY","2882-9","Protein [Mass/volume] in Pleural fluid"
50248,"CHLORIDE","STOOL","CHEMISTRY","15158-9","Chloride [Moles/volume] in Stool"
50249,"CO2","STOOL","CHEMISTRY","14040-0","Carbon dioxide, total [Moles/volume] in Stool"
50251,"POTASSIUM","STOOL","CHEMISTRY","15202-5","Potassium [Moles/volume] in Stool"
50253,"24Ca++","URINE","CHEMISTRY","6874-2","Calcium [Mass/time] in 24 hour Urine"
50254,"24Creat","URINE","CHEMISTRY","2162-6","Creatinine [Mass/time] in 24 hour Urine"
50256,"<COLLECT>","URINE","CHEMISTRY","13362-9","Collection duration of Urine"
50260,"AMY/CREAT","URINE","CHEMISTRY","34235-2","Amylase/Creatinine [Ratio] in Urine"
50261,"AMYLASE","URINE","CHEMISTRY","1799-6","Amylase [Enzymatic activity/volume] in Urine"
50263,"CHLORIDE","URINE","CHEMISTRY","2078-4","Chloride [Moles/volume] in Urine"
50265,"CREAT CLR","URINE","CHEMISTRY","33558-8","Creatinine renal clearance in unspecified time"
50268,"HOURS","URINE","CHEMISTRY","13362-9","Collection duration of Urine"
50269,"IFE","URINE","CHEMISTRY","49276-9","Immunofixation [interpretation] for Urine Narrative"
50271,"MYOGLOBIN","URINE","CHEMISTRY","2640-1","Myoglobin [Presence] in Urine"
50272,"OSMOLAL","URINE","CHEMISTRY","2695-5","Osmolality of Urine"
50274,"PORPHOBIL","URINE","CHEMISTRY","2809-2","Porphobilinogen [Presence] in Urine"
50275,"POTASSIUM","URINE","CHEMISTRY","2828-2","Potassium [Moles/volume] in Urine"
50277,"SODIUM","URINE","CHEMISTRY","2955-3","Sodium [Moles/volume] in Urine"
50278,"TOT PROT","URINE","CHEMISTRY","2888-6","Protein [Mass/volume] in Urine"
50280,"U-PEP","URINE","CHEMISTRY","13438-7","Protein Fractions [interpretation] in Urine by Electrophoresis"
50281,"UCG","URINE","CHEMISTRY","2106-3","Choriogonadotropin [Presence] in Urine"
50283,"UREA N","URINE","CHEMISTRY","3095-7","Urea nitrogen [Mass/volume] in Urine"
50287,"alb/CREA","URINE","CHEMISTRY","9318-7","Albumin/Creatinine [Mass ratio] in Urine"
50288,"albumin","URINE","CHEMISTRY","1754-1","Albumin [Mass/volume] in Urine"
50290,"barbitrt","URINE","CHEMISTRY","3377-9","Barbiturates [Presence] in Urine"
50291,"bnzodzpn","URINE","CHEMISTRY","3390-2","Benzodiazepines [Presence] in Urine"
50293,"ethanol","URINE","CHEMISTRY","5644-0","Ethanol [Presence] in Urine"
50295,"mthdone","URINE","CHEMISTRY","3773-9","Methadone [Presence] in Urine"
50296,"opiates","URINE","CHEMISTRY","3879-4","Opiates [Presence] in Urine"
